,Department,Department_n,salary,salary_n
0,sales,7,low,1
1,sales,7,medium,2
2,sales,7,medium,2
3,sales,7,low,1
4,sales,7,low,1
5,sales,7,low,1
6,sales,7,low,1
7,sales,7,low,1
8,sales,7,low,1
9,sales,7,low,1
10,sales,7,low,1
11,sales,7,low,1
12,sales,7,low,1
13,sales,7,low,1
14,sales,7,low,1
15,sales,7,low,1
16,sales,7,low,1
17,sales,7,low,1
18,sales,7,low,1
19,sales,7,low,1
20,sales,7,low,1
21,sales,7,low,1
22,sales,7,low,1
23,sales,7,low,1
24,sales,7,low,1
25,sales,7,low,1
26,sales,7,low,1
27,sales,7,low,1
28,accounting,2,low,1
29,accounting,2,low,1
30,accounting,2,low,1
31,hr,3,low,1
32,hr,3,low,1
33,hr,3,low,1
34,hr,3,low,1
35,technical,9,low,1
36,technical,9,low,1
37,technical,9,low,1
38,technical,9,low,1
39,technical,9,low,1
40,technical,9,low,1
41,technical,9,low,1
42,technical,9,low,1
43,technical,9,low,1
44,technical,9,low,1
45,technical,9,low,1
46,support,8,low,1
47,support,8,low,1
48,support,8,low,1
49,support,8,low,1
50,support,8,low,1
51,support,8,low,1
52,support,8,low,1
53,support,8,low,1
54,support,8,low,1
55,support,8,low,1
56,support,8,low,1
57,technical,9,low,1
58,technical,9,low,1
59,technical,9,low,1
60,management,4,medium,2
61,IT,0,medium,2
62,IT,0,medium,2
63,IT,0,medium,2
64,IT,0,medium,2
65,IT,0,medium,2
66,product_mng,6,medium,2
67,product_mng,6,medium,2
68,product_mng,6,medium,2
69,product_mng,6,medium,2
70,IT,0,medium,2
71,product_mng,6,medium,2
72,product_mng,6,high,0
73,product_mng,6,low,1
74,product_mng,6,medium,2
75,product_mng,6,medium,2
76,product_mng,6,medium,2
77,marketing,5,medium,2
78,sales,7,low,1
79,accounting,2,low,1
80,support,8,low,1
81,technical,9,low,1
82,management,4,low,1
83,marketing,5,low,1
84,marketing,5,low,1
85,marketing,5,low,1
86,sales,7,low,1
87,sales,7,low,1
88,sales,7,low,1
89,sales,7,low,1
90,sales,7,low,1
91,sales,7,low,1
92,sales,7,low,1
93,sales,7,low,1
94,sales,7,low,1
95,sales,7,low,1
96,sales,7,low,1
97,sales,7,low,1
98,sales,7,low,1
99,sales,7,medium,2
100,sales,7,medium,2
101,sales,7,medium,2
102,sales,7,medium,2
